t,ksd,seed,type
412,0.023278227,0,off-target
412,0.007653766,0,target
413,0.024129968,0,off-target
413,0.0058101406,0,target
414,0.024909407,0,off-target
414,0.0052508595,0,target
415,0.025511,0,off-target
415,0.005648828,0,target
416,0.024540797,0,off-target
416,0.006933047,0,target
417,0.025783991,0,off-target
417,0.0069136717,0,target
418,0.026382415,0,off-target
418,0.007161344,0,target
419,0.027338633,0,off-target
419,0.006749234,0,target
420,0.029293813,0,off-target
420,0.0063849217,0,target
421,0.029552406,0,off-target
421,0.0066849687,0,target
422,0.03023578,0,off-target
422,0.007641805,0,target
423,0.028395101,0,off-target
423,0.007843281,0,target
424,0.027616452,0,off-target
424,0.0072306874,0,target
425,0.02892339,0,off-target
425,0.007250719,0,target
426,0.030247657,0,off-target
426,0.0072413203,0,target
427,0.02955875,0,off-target
427,0.0070150155,0,target
428,0.030202366,0,off-target
428,0.006507258,0,target
429,0.030264843,0,off-target
429,0.007060969,0,target
430,0.034107734,0,off-target
430,0.0067781173,0,target
431,0.035231788,0,off-target
431,0.0058174063,0,target
432,0.035658345,0,off-target
432,0.004925703,0,target
433,0.03600142,0,off-target
433,0.004881359,0,target
434,0.033896156,0,off-target
434,0.004543266,0,target
435,0.03571465,0,off-target
435,0.004523914,0,target
436,0.036899608,0,off-target
436,0.004058344,0,target
437,0.039618384,0,off-target
437,0.003842,0,target
438,0.0419435,0,off-target
438,0.0041916016,0,target
439,0.040595744,0,off-target
439,0.004742133,0,target
440,0.04011297,0,off-target
440,0.0051327813,0,target
441,0.04038811,0,off-target
441,0.0047165,0,target
442,0.0404965,0,off-target
442,0.0051764767,0,target
443,0.036698952,0,off-target
443,0.0049488205,0,target
444,0.038626492,0,off-target
444,0.0052709924,0,target
445,0.038097337,0,off-target
445,0.0058424766,0,target
446,0.035217125,0,off-target
446,0.0057307812,0,target
447,0.03532801,0,off-target
447,0.0057862736,0,target
448,0.035523765,0,off-target
448,0.005781367,0,target
449,0.033907257,0,off-target
449,0.0068838983,0,target
450,0.031945195,0,off-target
450,0.007926266,0,target
451,0.033266485,0,off-target
451,0.008112898,0,target
452,0.034676265,0,off-target
452,0.008464875,0,target
453,0.03224861,0,off-target
453,0.008580985,0,target
454,0.031269148,0,off-target
454,0.008593828,0,target
455,0.031109946,0,off-target
455,0.0092613045,0,target
456,0.02822053,0,off-target
456,0.009508047,0,target
457,0.030634047,0,off-target
457,0.00948757,0,target
458,0.028944485,0,off-target
458,0.009802859,0,target
459,0.03146985,0,off-target
459,0.009546469,0,target
460,0.030316047,0,off-target
460,0.0096440315,0,target
461,0.03153876,0,off-target
461,0.008542015,0,target
462,0.031247735,0,off-target
462,0.009159055,0,target
463,0.031441,0,off-target
463,0.008787765,0,target
464,0.0298514,0,off-target
464,0.008987734,0,target
465,0.028306726,0,off-target
465,0.008511953,0,target
466,0.027584188,0,off-target
466,0.008092922,0,target
467,0.027382946,0,off-target
467,0.0077169924,0,target
468,0.0262635,0,off-target
468,0.008730226,0,target
469,0.026010094,0,off-target
469,0.0092149535,0,target
470,0.024046758,0,off-target
470,0.008761813,0,target
471,0.025960844,0,off-target
471,0.008775882,0,target
472,0.027421782,0,off-target
472,0.007885555,0,target
473,0.026322016,0,off-target
473,0.0078605395,0,target
474,0.031345095,0,off-target
474,0.00825475,0,target
475,0.030661609,0,off-target
475,0.008549773,0,target
476,0.032818757,0,off-target
476,0.0076339454,0,target
477,0.032743108,0,off-target
477,0.007086219,0,target
478,0.032540936,0,off-target
478,0.006720281,0,target
479,0.03235797,0,off-target
479,0.007587875,0,target
480,0.034290314,0,off-target
480,0.0077519217,0,target
481,0.031269282,0,off-target
481,0.008247875,0,target
482,0.03318058,0,off-target
482,0.0087845465,0,target
483,0.03409107,0,off-target
483,0.009164313,0,target
484,0.033297163,0,off-target
484,0.009491985,0,target
485,0.030588906,0,off-target
485,0.009615391,0,target
486,0.030161476,0,off-target
486,0.009599102,0,target
487,0.028825141,0,off-target
487,0.009732914,0,target
488,0.030369923,0,off-target
488,0.009312953,0,target
489,0.027058616,0,off-target
