t,ksd,seed,type
358,0.007000871,0,target
359,0.016452515,0,off-target
359,0.012460582,0,target
360,0.0085479375,0,off-target
360,0.017574824,0,target
361,0.012613531,0,off-target
361,0.0072895037,0,target
362,0.02239772,0,off-target
362,0.0065183635,0,target
363,0.0061610937,0,off-target
363,0.0073873163,0,target
364,0.0121191405,0,off-target
364,0.008548,0,target
365,0.009562047,0,off-target
365,0.012549062,0,target
366,0.008487125,0,off-target
366,0.015024363,0,target
367,0.010204797,0,off-target
367,0.010538492,0,target
368,0.00557775,0,off-target
368,0.011326578,0,target
369,0.005134906,0,off-target
369,0.005113906,0,target
370,0.012712297,0,off-target
370,0.019746777,0,target
371,0.012233328,0,off-target
371,0.016996766,0,target
372,0.009324906,0,off-target
372,0.0148385195,0,target
373,0.0075227343,0,off-target
373,0.012169832,0,target
374,0.015190594,0,off-target
374,0.019776056,0,target
375,0.012041516,0,off-target
375,0.014331426,0,target
376,0.006016141,0,off-target
376,0.011170507,0,target
377,0.013433593,0,off-target
377,0.015193125,0,target
378,0.015277796,0,off-target
378,0.015244925,0,target
379,0.010057063,0,off-target
379,0.013567934,0,target
380,0.0072680623,0,off-target
380,0.0066213906,0,target
381,0.017597765,0,off-target
381,0.0057993084,0,target
382,0.011727156,0,off-target
382,0.00819341,0,target
383,0.014177438,0,off-target
383,0.0067704767,0,target
384,0.010961453,0,off-target
384,0.008310257,0,target
385,0.011403938,0,off-target
385,0.0070781955,0,target
386,0.011713125,0,off-target
386,0.008790531,0,target
387,0.007819672,0,off-target
387,0.007074047,0,target
388,0.0115545,0,off-target
388,0.0057985666,0,target
389,0.0095938435,0,off-target
389,0.008907261,0,target
390,0.016163329,0,off-target
390,0.0049361014,0,target
391,0.017747032,0,off-target
391,0.010891137,0,target
392,0.010763234,0,off-target
392,0.009965601,0,target
393,0.0063838437,0,off-target
393,0.009260777,0,target
394,0.0074753435,0,off-target
394,0.017878188,0,target
395,0.009447657,0,off-target
395,0.017291343,0,target
396,0.011716203,0,off-target
396,0.01672887,0,target
397,0.011938453,0,off-target
397,0.012052008,0,target
398,0.020111157,0,off-target
398,0.01643655,0,target
399,0.006971703,0,off-target
399,0.006120289,0,target
400,0.007906844,0,off-target
400,0.009622535,0,target
401,0.0141615,0,off-target
401,0.01180843,0,target
402,0.015580141,0,off-target
402,0.009487262,0,target
403,0.009279156,0,off-target
403,0.0039449804,0,target
404,0.010825516,0,off-target
404,0.0053554336,0,target
405,0.016487421,0,off-target
405,0.012996211,0,target
406,0.013934282,0,off-target
406,0.0043564416,0,target
407,0.011035922,0,off-target
407,0.0065979883,0,target
408,0.0069945627,0,off-target
408,0.004864781,0,target
409,0.0067554843,0,off-target
409,0.008663777,0,target
410,0.010976922,0,off-target
410,0.0076099453,0,target
411,0.008710781,0,off-target
411,0.011163664,0,target
412,0.009886266,0,off-target
412,0.0049889726,0,target
413,0.010420203,0,off-target
413,0.010479969,0,target
414,0.018534437,0,off-target
414,0.005223836,0,target
415,0.012322469,0,off-target
415,0.0045448984,0,target
416,0.026809625,0,off-target
416,0.012796574,0,target
417,0.014321875,0,off-target
417,0.005750762,0,target
418,0.0062111407,0,off-target
418,0.010413613,0,target
419,0.0052855313,0,off-target
419,0.008737332,0,target
420,0.015086172,0,off-target
420,0.006300422,0,target
421,0.0066639218,0,off-target
421,0.0075177737,0,target
422,0.018110985,0,off-target
422,0.011305598,0,target
423,0.012322844,0,off-target
423,0.010476445,0,target
424,0.013713656,0,off-target
424,0.010468473,0,target
425,0.011439656,0,off-target
425,0.006388711,0,target
426,0.019471984,0,off-target
426,0.015475492,0,target
427,0.013897625,0,off-target
427,0.013892774,0,target
428,0.015413157,0,off-target
428,0.006457496,0,target
429,0.013376328,0,off-target
429,0.016773352,0,target
430,0.013281516,0,off-target
430,0.01764736,0,target
431,0.009227969,0,off-target
431,0.0048581054,0,target
432,0.009454,0,off-target
432,0.0067012343,0,target
433,0.008758969,0,off-target
433,0.007802258,0,target
434,0.012044078,0,off-target
434,0.013674054,0,target
435,0.00979414,0,off-target
435,0.01712607,0,target
436,0.005188281,0,off-target
436,0.017902512,0,target
437,0.012070172,0,off-target
437,0.012163855,0,target
438,0.0065133283,0,off-target
438,0.010833574,0,target
439,0.012277437,0,off-target
439,0.0124890115,0,target
440,0.015937109,0,off-target
440,0.011196188,0,target
441,0.01163925,0,off-target
441,0.0065474533,0,target
442,0.0158055,0,off-target
442,0.0050332304,0,target
443,0.015359891,0,off-target
443,0.0073303045,0,target
444,0.014006516,0,off-target
444,0.011027707,0,target
445,0.020690281,0,off-target
445,0.016574496,0,target
446,0.008091781,0,off-target
446,0.019105706,0,target
447,0.010813328,0,off-target
447,0.019125473,0,target
448,0.005773719,0,off-target
448,0.016487919,0,target
449,0.007412375,0,off-target
449,0.0146071715,0,target
450,0.012147078,0,off-target
450,0.019021489,0,target
451,0.0144062815,0,off-target
451,0.014728664,0,target
452,0.008462078,0,off-target
452,0.012516777,0,target
453,0.014069969,0,off-target
453,0.010682672,0,target
454,0.014808047,0,off-target
454,0.008970867,0,target
455,0.010861438,0,off-target
455,0.010879988,0,target
456,0.01909264,0,off-target
456,0.010895356,0,target
457,0.015891094,0,off-target
457,0.022353554,0,target
458,0.016935313,0,off-target
458,0.009990371,0,target
459,0.029645782,0,off-target
459,0.009999738,0,target
460,0.01451661,0,off-target
460,0.0061929883,0,target
461,0.010696359,0,off-target
461,0.010827672,0,target
462,0.011699234,0,off-target
462,0.010759934,0,target
463,0.01826161,0,off-target
463,0.00675168,0,target
464,0.0075841406,0,off-target
464,0.013418871,0,target
465,0.005838297,0,off-target
465,0.020306114,0,target
466,0.006692156,0,off-target
466,0.008634844,0,target
467,0.00775925,0,off-target
467,0.010284969,0,target
468,0.013298531,0,off-target
468,0.0067820665,0,target
469,0.017185891,0,off-target
469,0.008761547,0,target
470,0.020938437,0,off-target
470,0.0063343514,0,target
471,0.0052439687,0,off-target
471,0.016105445,0,target
472,0.01570361,0,off-target
472,0.007079418,0,target
473,0.007142266,0,off-target
473,0.0058270195,0,target
474,0.010091641,0,off-target
474,0.0076840823,0,target
475,0.0050191563,0,off-target
475,0.009541554,0,target
476,0.011828359,0,off-target
476,0.008432211,0,target
477,0.006783594,0,off-target
477,0.0075119375,0,target
478,0.008521313,0,off-target
478,0.008557574,0,target
479,0.012914141,0,off-target
