Tue Dec  6 22:24:17 2022    profile.o

         146142480 function calls (141306574 primitive calls) in 213.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.406    0.406 models.py:16(<module>)
     1498    0.020    0.000    0.405    0.000 binomial.py:333(__init__)
     1500    0.001    0.000    0.405    0.000 signature_builder.py:142(make_function_signature)
 1000/200    0.004    0.000    0.403    0.002 hager_zhang_lib.py:36(val_where)
13500/1500    0.039    0.000    0.403    0.000 signature_builder.py:87(create_trace_type)
        2    0.000    0.000    0.403    0.201 while_v2.py:70(while_loop)
     1000    0.001    0.000    0.401    0.000 hager_zhang_lib.py:42(<genexpr>)
    13077    0.017    0.000    0.395    0.000 math_ops.py:5418(exp)
  1222775    0.389    0.000    0.389    0.000 context.py:931(_handle)
  1223149    0.330    0.000    0.386    0.000 context.py:580(ensure_initialized)
    13077    0.024    0.000    0.378    0.000 gen_math_ops.py:3654(exp)
    21495    0.031    0.000    0.372    0.000 gen_math_ops.py:5175(less_equal)
       13    0.000    0.000    0.370    0.028 lazy_loader.py:38(_load)
    12929    0.046    0.000    0.365    0.000 np_utils.py:501(result_type)
  2749838    0.361    0.000    0.361    0.000 ops.py:172(__init__)
        6    0.000    0.000    0.361    0.060 <decorator-gen-174>:1(__init__)
        6    0.003    0.000    0.360    0.060 categorical.py:154(__init__)
  2749838    0.359    0.000    0.359    0.000 ops.py:178(__exit__)
    34342    0.024    0.000    0.357    0.000 inspect.py:606(getdoc)
16352/15813    0.046    0.000    0.357    0.000 inspect.py:2218(_signature_from_callable)
       33    0.001    0.000    0.354    0.011 hager_zhang_lib.py:522(_loop_body)
      294    0.006    0.000    0.353    0.001 langevin.py:113(transit)
     1506    0.009    0.000    0.351    0.000 distribution.py:1214(<lambda>)
    69783    0.068    0.000    0.345    0.000 ops.py:1135(numpy)
       26    0.000    0.000    0.340    0.013 hager_zhang.py:377(_line_search_after_bracketing)
14988/4500    0.007    0.000    0.337    0.000 signature_builder.py:110(<genexpr>)
   325921    0.247    0.000    0.334    0.000 tensor_util.py:1030(is_tf_type)
    10778    0.018    0.000    0.334    0.000 gen_math_ops.py:1981(cast)
     1506    0.006    0.000    0.333    0.000 distribution.py:1092(batch_shape)
    88675    0.048    0.000    0.333    0.000 ops.py:1123(_numpy)
    10005    0.010    0.000    0.330    0.000 np_math_ops.py:614(abs)
    52953    0.091    0.000    0.329    0.000 np_utils.py:482(_maybe_get_dtype)
    32292    0.194    0.000    0.326    0.000 inspect.py:625(cleandoc)
        1    0.000    0.000    0.322    0.322 data_service_ops.py:15(<module>)
      216    0.023    0.000    0.321    0.001 artist.py:1422(get_setters)
    10010    0.016    0.000    0.321    0.000 np_math_ops.py:578(_scalar)
  1207951    0.273    0.000    0.320    0.000 {built-in method builtins.issubclass}
      357    0.004    0.000    0.318    0.001 math_grad.py:1493(_PowGrad)
        1    0.000    0.000    0.317    0.317 colorbar.py:1(<module>)
     1506    0.003    0.000    0.317    0.000 distribution.py:1061(_batch_shape)
     1506    0.007    0.000    0.314    0.000 batch_shape_lib.py:40(inferred_batch_shape)
       26    0.001    0.000    0.313    0.012 hager_zhang.py:444(_loop_body)
32244/10413    0.072    0.000    0.304    0.000 nest.py:611(_packed_nest_with_indices)
    27386    0.014    0.000    0.304    0.000 artist.py:1441(is_alias)
        1    0.000    0.000    0.301    0.301 binomial.py:135(_btrs)
       26    0.002    0.000    0.299    0.012 hager_zhang_lib.py:57(secant2)
      114    0.005    0.000    0.298    0.003 artist.py:1491(pprint_setters)
   273746    0.266    0.000    0.296    0.000 ops.py:6905(__init__)
2379797/2370038    0.292    0.000    0.295    0.000 {built-in method builtins.len}
     3150    0.017    0.000    0.295    0.000 math_ops.py:3283(reduce_any)
  2749838    0.295    0.000    0.295    0.000 ops.py:175(__enter__)
28261/8045    0.018    0.000    0.294    0.000 _utils.py:59(wrap)
        1    0.000    0.000    0.286    0.286 batched_rejection_sampler.py:31(batched_las_vegas_algorithm)
     3210    0.008    0.000    0.286    0.000 execute.py:271(<listcomp>)
    88675    0.285    0.000    0.285    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  233/232    0.001    0.000    0.285    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
  233/232    0.280    0.001    0.283    0.001 {built-in method _imp.create_dynamic}
     1483    0.004    0.000    0.282    0.000 gen_math_ops.py:9383(select_v2)
   441731    0.208    0.000    0.279    0.000 tensor_shape.py:839(rank)
    15692    0.103    0.000    0.275    0.000 inspect.py:2124(_signature_from_function)
      801    0.007    0.000    0.269    0.000 broadcast_util.py:38(left_justified_expand_dims_to)
    10101    0.020    0.000    0.267    0.000 gen_math_ops.py:503(_all)
    10145    0.049    0.000    0.260    0.000 math_ops.py:364(abs)
   258112    0.259    0.000    0.259    0.000 ops.py:6706(<genexpr>)
     1510    0.025    0.000    0.252    0.000 distribution.py:568(__init__)
    13520    0.031    0.000    0.250    0.000 typing.py:1009(__instancecheck__)
     2319    0.004    0.000    0.246    0.000 <decorator-gen-30>:1(concat)
     1512    0.018    0.000    0.244    0.000 batch_shape_lib.py:281(map_fn_over_parameters_with_event_ndims)
    11386    0.006    0.000    0.244    0.000 inspect.py:3103(signature)
      371    0.009    0.000    0.240    0.001 op_def_library.py:753(_apply_op_helper)
     4524    0.005    0.000    0.240    0.000 tensor_util.py:34(convert_nonref_to_tensor)
    11386    0.005    0.000    0.238    0.000 inspect.py:2851(from_callable)
    20323    0.065    0.000    0.238    0.000 random_seed.py:38(get_seed)
     4457    0.004    0.000    0.237    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
4459/4457    0.026    0.000    0.234    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      216    0.001    0.000    0.233    0.001 artist.py:1327(__init__)
4489/4322    0.002    0.000    0.233    0.000 __init__.py:84(find_spec)
      216    0.012    0.000    0.232    0.001 artist.py:1347(get_aliases)
      2/1    0.000    0.000    0.231    0.231 __init__.py:92(spec_for_distutils)
       91    0.000    0.000    0.231    0.003 gradient.py:378(<lambda>)
