n,p_value,seed,type
500,0.906,395,off-target
500,0.494,395,target
500,0.893,396,off-target
500,0.432,396,target
500,0.884,397,off-target
500,0.767,397,target
500,0.155,398,off-target
500,0.59,398,target
500,0.391,399,off-target
500,0.049,399,target
500,0.194,400,off-target
500,0.214,400,target
500,0.635,401,off-target
500,0.24,401,target
500,0.069,402,off-target
500,0.289,402,target
500,0.16,403,off-target
500,0.514,403,target
500,0.64,404,off-target
500,0.62,404,target
500,0.104,405,off-target
500,0.886,405,target
500,0.852,406,off-target
500,0.873,406,target
500,0.165,407,off-target
500,0.431,407,target
500,0.316,408,off-target
500,0.852,408,target
500,0.338,409,off-target
500,0.363,409,target
500,0.79,410,off-target
500,0.177,410,target
500,0.949,411,off-target
500,0.072,411,target
500,0.45,412,off-target
500,0.534,412,target
500,0.866,413,off-target
500,0.369,413,target
500,0.011,414,off-target
500,0.135,414,target
500,0.046,415,off-target
500,0.235,415,target
500,0.79,416,off-target
500,0.448,416,target
500,0.931,417,off-target
500,0.365,417,target
500,0.371,418,off-target
500,0.885,418,target
500,0.247,419,off-target
500,0.989,419,target
500,0.685,420,off-target
500,0.089,420,target
500,0.85,421,off-target
500,0.17,421,target
500,0.131,422,off-target
500,0.142,422,target
500,0.566,423,off-target
500,0.232,423,target
500,0.475,424,off-target
500,0.571,424,target
500,0.296,425,off-target
500,0.428,425,target
500,0.128,426,off-target
500,0.354,426,target
500,0.025,427,off-target
500,0.674,427,target
500,0.676,428,off-target
500,0.398,428,target
500,0.703,429,off-target
500,0.786,429,target
500,0.444,430,off-target
500,0.503,430,target
500,0.928,431,off-target
500,0.952,431,target
500,0.983,432,off-target
500,0.818,432,target
500,0.1,433,off-target
500,0.539,433,target
500,0.273,434,off-target
500,0.975,434,target
500,0.27,435,off-target
500,0.155,435,target
500,0.748,436,off-target
500,0.908,436,target
500,0.869,437,off-target
500,0.535,437,target
500,0.889,438,off-target
500,0.864,438,target
500,0.946,439,off-target
500,0.776,439,target
500,0.393,440,off-target
500,0.824,440,target
500,0.916,441,off-target
500,0.003,441,target
500,0.424,442,off-target
500,0.099,442,target
500,0.242,443,off-target
500,0.54,443,target
500,0.685,444,off-target
500,0.245,444,target
500,0.924,445,off-target
500,0.402,445,target
500,0.237,446,off-target
500,0.194,446,target
500,0.896,447,off-target
500,0.526,447,target
500,0.929,448,off-target
500,0.249,448,target
500,0.487,449,off-target
500,0.892,449,target
500,0.423,450,off-target
500,0.488,450,target
500,0.828,451,off-target
500,0.878,451,target
500,0.831,452,off-target
500,0.158,452,target
500,0.347,453,off-target
500,0.539,453,target
500,0.672,454,off-target
500,0.538,454,target
500,0.739,455,off-target
500,0.356,455,target
500,0.007,456,off-target
500,0.064,456,target
500,0.633,457,off-target
500,0.304,457,target
500,0.508,458,off-target
500,0.602,458,target
500,0.322,459,off-target
500,0.56,459,target
500,0.362,460,off-target
500,0.603,460,target
500,0.088,461,off-target
500,0.623,461,target
500,0.556,462,off-target
500,0.336,462,target
500,0.601,463,off-target
500,0.426,463,target
500,0.267,464,off-target
500,0.649,464,target
500,0.766,465,off-target
500,0.358,465,target
500,0.164,466,off-target
500,0.673,466,target
500,0.86,467,off-target
500,0.706,467,target
500,0.154,468,off-target
500,0.6,468,target
500,0.319,469,off-target
500,0.861,469,target
500,0.956,470,off-target
500,0.803,470,target
500,0.373,471,off-target
500,0.141,471,target
500,0.605,472,off-target
500,0.955,472,target
500,0.544,473,off-target
500,0.22,473,target
500,0.453,474,off-target
500,0.9,474,target
500,0.356,475,off-target
500,0.172,475,target
500,0.011,476,off-target
500,0.152,476,target
500,0.585,477,off-target
500,0.112,477,target
500,0.309,478,off-target
500,0.395,478,target
500,0.414,479,off-target
500,0.594,479,target
500,0.281,480,off-target
500,0.697,480,target
500,0.763,481,off-target
500,0.966,481,target
500,0.431,482,off-target
500,0.694,482,target
500,0.966,483,off-target
500,0.03,483,target
500,0.93,484,off-target
500,0.208,484,target
500,0.139,485,off-target
500,0.463,485,target
500,0.398,486,off-target
500,0.075,486,target
500,0.315,487,off-target
500,0.061,487,target
500,0.01,488,off-target
500,0.867,488,target
500,0.422,489,off-target
500,0.436,489,target
500,0.211,490,off-target
500,0.127,490,target
500,0.298,491,off-target
500,0.115,491,target
500,0.047,492,off-target
500,0.361,492,target
500,0.438,493,off-target
500,0.415,493,target
500,0.556,494,off-target
500,0.057,494,target
500,0.895,495,off-target
500,0.924,495,target
500,0.156,496,off-target
500,0.447,496,target
500,0.582,497,off-target
500,0.803,497,target
500,0.949,498,off-target
500,0.003,498,target
500,0.869,499,off-target
500,0.089,499,target
500,0.001,500,off-target
500,0.528,500,target
500,0.92,501,off-target
500,0.02,501,target
500,0.487,502,off-target
500,0.964,502,target
500,0.494,503,off-target
500,0.984,503,target
500,0.244,504,off-target
500,0.782,504,target
500,0.124,505,off-target
500,0.877,505,target
500,0.887,506,off-target
500,0.218,506,target
500,0.475,507,off-target
500,0.937,507,target
500,0.962,508,off-target
500,0.873,508,target
500,0.911,509,off-target
500,0.237,509,target
500,0.751,510,off-target
500,0.054,510,target
500,0.145,511,off-target
500,0.963,511,target
500,0.442,512,off-target
500,0.411,512,target
500,0.259,513,off-target
