n,t,p_value,seed,type
500,0,0.859,158,off-target
500,0,0.457,158,target
500,1450,0.909,158,off-target
500,1450,0.907,158,target
500,0,0.767,159,off-target
500,0,0.74,159,target
500,1450,0.152,159,off-target
500,1450,0.309,159,target
500,0,0.331,160,off-target
500,0,0.495,160,target
500,1450,0.31,160,off-target
500,1450,0.265,160,target
500,0,0.051,161,off-target
500,0,0.316,161,target
500,1450,0.77,161,off-target
500,1450,0.608,161,target
500,0,0.274,162,off-target
500,0,0.016,162,target
500,1450,0.656,162,off-target
500,1450,0.859,162,target
500,0,0.232,163,off-target
500,0,0.691,163,target
500,1450,0.908,163,off-target
500,1450,0.896,163,target
500,0,0.21,164,off-target
500,0,0.431,164,target
500,1450,0.982,164,off-target
500,1450,0.662,164,target
500,0,0.892,165,off-target
500,0,0.335,165,target
500,1450,0.078,165,off-target
500,1450,0.506,165,target
500,0,0.443,166,off-target
500,0,0.197,166,target
500,1450,0.928,166,off-target
500,1450,0.219,166,target
500,0,0.917,167,off-target
500,0,0.331,167,target
500,1450,0.421,167,off-target
500,1450,0.134,167,target
500,0,0.131,168,off-target
500,0,0.783,168,target
500,1450,0.89,168,off-target
500,1450,0.285,168,target
500,0,0.151,169,off-target
500,0,0.784,169,target
500,1450,0.709,169,off-target
500,1450,0.31,169,target
500,0,0.808,170,off-target
500,0,0.859,170,target
500,1450,0.834,170,off-target
500,1450,0.012,170,target
500,0,0.961,171,off-target
500,0,0.63,171,target
500,1450,0.832,171,off-target
500,1450,0.89,171,target
500,0,0.9,172,off-target
500,0,0.332,172,target
500,1450,0.018,172,off-target
500,1450,0.117,172,target
500,0,0.545,173,off-target
500,0,0.546,173,target
500,1450,0.017,173,off-target
500,1450,0.03,173,target
500,0,0.506,174,off-target
500,0,0.65,174,target
500,1450,0.787,174,off-target
500,1450,0.305,174,target
500,0,0.201,175,off-target
500,0,0.447,175,target
500,1450,0.648,175,off-target
500,1450,0.069,175,target
500,0,0.73,176,off-target
500,0,0.36,176,target
500,1450,0.741,176,off-target
500,1450,0.345,176,target
500,0,0.106,177,off-target
500,0,0.026,177,target
500,1450,0.73,177,off-target
500,1450,0.333,177,target
500,0,0.073,178,off-target
500,0,0.441,178,target
500,1450,0.569,178,off-target
500,1450,0.281,178,target
500,0,0.653,179,off-target
500,0,0.765,179,target
500,1450,0.766,179,off-target
500,1450,0.57,179,target
500,0,0.966,180,off-target
500,0,0.671,180,target
500,1450,0.403,180,off-target
500,1450,0.277,180,target
500,0,0.749,181,off-target
500,0,0.972,181,target
500,1450,0.869,181,off-target
500,1450,0.654,181,target
500,0,0.714,182,off-target
500,0,0.572,182,target
500,1450,0.555,182,off-target
500,1450,0.235,182,target
500,0,0.115,183,off-target
500,0,0.946,183,target
500,1450,0.43,183,off-target
500,1450,0.008,183,target
500,0,0.804,184,off-target
500,0,0.395,184,target
500,1450,0.411,184,off-target
500,1450,0.404,184,target
500,0,0.027,185,off-target
500,0,0.653,185,target
500,1450,0.737,185,off-target
500,1450,0.293,185,target
500,0,0.202,186,off-target
500,0,0.765,186,target
500,1450,0.517,186,off-target
500,1450,0.549,186,target
500,0,0.582,187,off-target
500,0,0.058,187,target
500,1450,0.075,187,off-target
500,1450,0.143,187,target
500,0,0.516,188,off-target
500,0,0.303,188,target
500,1450,0.415,188,off-target
500,1450,0.266,188,target
500,0,0.084,189,off-target
500,0,0.21,189,target
500,1450,0.823,189,off-target
500,1450,0.439,189,target
500,0,0.43,190,off-target
500,0,0.858,190,target
500,1450,0.458,190,off-target
500,1450,0.95,190,target
500,0,0.39,191,off-target
500,0,0.954,191,target
500,1450,0.41,191,off-target
500,1450,0.852,191,target
500,0,0.813,192,off-target
500,0,0.048,192,target
500,1450,0.235,192,off-target
500,1450,0.657,192,target
500,0,0.087,193,off-target
500,0,0.271,193,target
500,1450,0.48,193,off-target
500,1450,0.79,193,target
500,0,0.288,194,off-target
500,0,0.586,194,target
500,1450,0.805,194,off-target
500,1450,0.491,194,target
500,0,0.151,195,off-target
500,0,0.595,195,target
500,1450,0.387,195,off-target
500,1450,0.325,195,target
500,0,0.395,196,off-target
500,0,0.035,196,target
500,1450,0.545,196,off-target
500,1450,0.23,196,target
500,0,0.277,197,off-target
500,0,0.754,197,target
500,1450,0.145,197,off-target
500,1450,0.784,197,target
500,0,0.974,198,off-target
500,0,0.71,198,target
500,1450,0.686,198,off-target
500,1450,0.056,198,target
500,0,0.255,199,off-target
500,0,0.682,199,target
500,1450,0.749,199,off-target
500,1450,0.007,199,target
