n,t,p_value,seed,type
500,15,0.002,101,off-target
500,15,0.072,101,target
500,20,0.003,101,off-target
500,20,0.128,101,target
500,0,0.636,102,off-target
500,0,0.193,102,target
500,5,0.001,102,off-target
500,5,0.555,102,target
500,10,0.0,102,off-target
500,10,0.223,102,target
500,15,0.0,102,off-target
500,15,0.593,102,target
500,20,0.0,102,off-target
500,20,0.72,102,target
500,0,0.429,103,off-target
500,0,0.982,103,target
500,5,0.0,103,off-target
500,5,0.974,103,target
500,10,0.0,103,off-target
500,10,0.982,103,target
500,15,0.0,103,off-target
500,15,0.976,103,target
500,20,0.0,103,off-target
500,20,0.981,103,target
500,0,0.336,104,off-target
500,0,0.114,104,target
500,5,0.0,104,off-target
500,5,0.186,104,target
500,10,0.0,104,off-target
500,10,0.1,104,target
500,15,0.0,104,off-target
500,15,0.087,104,target
500,20,0.0,104,off-target
500,20,0.11,104,target
500,0,0.237,105,off-target
500,0,0.251,105,target
500,5,0.0,105,off-target
500,5,0.516,105,target
500,10,0.0,105,off-target
500,10,0.399,105,target
500,15,0.0,105,off-target
500,15,0.206,105,target
500,20,0.0,105,off-target
500,20,0.548,105,target
500,0,0.471,106,off-target
500,0,0.431,106,target
500,5,0.0,106,off-target
500,5,0.613,106,target
500,10,0.0,106,off-target
500,10,0.702,106,target
500,15,0.0,106,off-target
500,15,0.458,106,target
500,20,0.002,106,off-target
500,20,0.656,106,target
500,0,0.77,107,off-target
500,0,0.109,107,target
