n,p_value,var_est,seed,type
500,0.458,0.0,103,off-target noiseless
500,0.681,1024.0,103,target
500,0.115,0.0,103,target noiseless
500,0.062,16.0,104,off-target
500,0.759,0.0,104,off-target noiseless
500,0.725,16.0,104,target
500,0.006,0.0,104,target noiseless
500,0.632,4.0,105,off-target
500,0.958,0.0,105,off-target noiseless
500,0.102,4.0,105,target
500,0.152,0.0,105,target noiseless
500,0.602,4.0,106,off-target
500,0.629,0.0,106,off-target noiseless
500,0.409,16.0,106,target
500,0.033,0.0,106,target noiseless
500,0.98,4.0,107,off-target
500,0.108,0.0,107,off-target noiseless
500,0.941,4.0,107,target
500,0.586,0.0,107,target noiseless
500,0.52,16.0,108,off-target
500,0.364,0.0,108,off-target noiseless
500,0.749,4.0,108,target
500,0.334,0.0,108,target noiseless
500,0.004,16.0,109,off-target
500,0.279,0.0,109,off-target noiseless
500,0.876,4.0,109,target
500,0.207,0.0,109,target noiseless
500,0.322,64.0,110,off-target
500,0.382,0.0,110,off-target noiseless
500,0.318,1.0,110,target
500,0.558,0.0,110,target noiseless
500,0.038,16.0,111,off-target
500,0.361,0.0,111,off-target noiseless
500,0.469,0.0625,111,target
500,0.666,0.0,111,target noiseless
500,0.0,16.0,112,off-target
500,0.713,0.0,112,off-target noiseless
500,0.337,64.0,112,target
500,0.369,0.0,112,target noiseless
500,0.978,4.0,113,off-target
500,0.143,0.0,113,off-target noiseless
500,0.825,1.0,113,target
500,0.593,0.0,113,target noiseless
500,0.037,16.0,114,off-target
500,0.373,0.0,114,off-target noiseless
500,0.167,256.0,114,target
500,0.779,0.0,114,target noiseless
500,0.049,16.0,115,off-target
500,0.884,0.0,115,off-target noiseless
500,0.693,16.0,115,target
500,0.229,0.0,115,target noiseless
500,0.872,0.25,116,off-target
500,0.474,0.0,116,off-target noiseless
500,0.861,4.0,116,target
500,0.234,0.0,116,target noiseless
500,0.08,16.0,117,off-target
500,0.424,0.0,117,off-target noiseless
500,0.562,16.0,117,target
500,0.74,0.0,117,target noiseless
500,0.077,16.0,118,off-target
500,0.338,0.0,118,off-target noiseless
500,0.323,4096.0,118,target
500,0.263,0.0,118,target noiseless
500,0.001,16.0,119,off-target
500,0.914,0.0,119,off-target noiseless
500,0.074,16.0,119,target
500,0.761,0.0,119,target noiseless
500,0.169,256.0,120,off-target
500,0.565,0.0,120,off-target noiseless
500,0.977,256.0,120,target
500,0.952,0.0,120,target noiseless
500,0.459,256.0,121,off-target
500,0.011,0.0,121,off-target noiseless
500,0.225,256.0,121,target
500,0.744,0.0,121,target noiseless
500,0.008,16.0,122,off-target
500,0.002,0.0,122,off-target noiseless
500,0.476,256.0,122,target
500,0.484,0.0,122,target noiseless
500,0.391,64.0,123,off-target
500,0.601,0.0,123,off-target noiseless
500,0.281,4.0,123,target
500,0.93,0.0,123,target noiseless
500,0.009,16.0,124,off-target
500,0.212,0.0,124,off-target noiseless
500,0.316,1.0,124,target
500,0.247,0.0,124,target noiseless
500,0.731,4.0,125,off-target
500,0.257,0.0,125,off-target noiseless
500,0.377,16.0,125,target
500,0.792,0.0,125,target noiseless
500,0.472,4.0,126,off-target
500,0.618,0.0,126,off-target noiseless
500,0.346,16.0,126,target
500,0.918,0.0,126,target noiseless
500,0.0,16.0,127,off-target
500,0.261,0.0,127,off-target noiseless
500,0.666,16.0,127,target
500,0.635,0.0,127,target noiseless
500,0.071,16.0,128,off-target
500,0.39,0.0,128,off-target noiseless
500,0.69,0.0625,128,target
500,0.494,0.0,128,target noiseless
500,0.033,16.0,129,off-target
500,0.921,0.0,129,off-target noiseless
500,0.529,16.0,129,target
500,0.494,0.0,129,target noiseless
500,0.033,16.0,130,off-target
500,0.691,0.0,130,off-target noiseless
500,0.433,4.0,130,target
500,0.787,0.0,130,target noiseless
500,0.451,256.0,131,off-target
500,0.082,0.0,131,off-target noiseless
500,0.944,256.0,131,target
500,0.721,0.0,131,target noiseless
500,0.996,1.0,132,off-target
500,0.634,0.0,132,off-target noiseless
500,0.501,1.0,132,target
500,0.161,0.0,132,target noiseless
500,0.596,0.25,133,off-target
500,0.157,0.0,133,off-target noiseless
500,0.496,64.0,133,target
500,0.137,0.0,133,target noiseless
500,0.816,64.0,134,off-target
500,0.216,0.0,134,off-target noiseless
500,0.683,4.0,134,target
500,0.963,0.0,134,target noiseless
500,0.026,64.0,135,off-target
500,0.893,0.0,135,off-target noiseless
500,0.522,16.0,135,target
500,0.5,0.0,135,target noiseless
500,0.51,4.0,136,off-target
500,0.773,0.0,136,off-target noiseless
500,0.264,4.0,136,target
500,0.382,0.0,136,target noiseless
500,0.027,16.0,137,off-target
500,0.426,0.0,137,off-target noiseless
500,0.277,1.0,137,target
500,0.512,0.0,137,target noiseless
500,0.635,4.0,138,off-target
500,0.831,0.0,138,off-target noiseless
500,0.127,4.0,138,target
500,0.841,0.0,138,target noiseless
500,0.871,4.0,139,off-target
500,0.197,0.0,139,off-target noiseless
500,0.55,64.0,139,target
500,0.501,0.0,139,target noiseless
500,0.045,16.0,140,off-target
500,0.744,0.0,140,off-target noiseless
500,0.404,4.0,140,target
500,0.461,0.0,140,target noiseless
500,0.089,64.0,141,off-target
500,0.084,0.0,141,off-target noiseless
500,0.429,256.0,141,target
500,0.62,0.0,141,target noiseless
500,0.102,16.0,142,off-target
500,0.491,0.0,142,off-target noiseless
500,0.756,0.0625,142,target
500,0.947,0.0,142,target noiseless
500,0.254,16.0,143,off-target
500,0.01,0.0,143,off-target noiseless
500,0.778,256.0,143,target
500,0.261,0.0,143,target noiseless
500,0.688,4.0,144,off-target
500,0.128,0.0,144,off-target noiseless
500,0.563,16.0,144,target
500,0.042,0.0,144,target noiseless
500,0.561,256.0,145,off-target
500,0.966,0.0,145,off-target noiseless
500,0.593,64.0,145,target
500,0.325,0.0,145,target noiseless
500,0.001,16.0,146,off-target
500,0.322,0.0,146,off-target noiseless
500,0.833,4.0,146,target
500,0.769,0.0,146,target noiseless
500,0.228,16.0,147,off-target
500,0.438,0.0,147,off-target noiseless
500,0.22,16.0,147,target
500,0.203,0.0,147,target noiseless
500,0.865,0.0625,148,off-target
500,0.197,0.0,148,off-target noiseless
500,0.588,0.0625,148,target
500,0.002,0.0,148,target noiseless
500,0.541,0.25,149,off-target
500,0.689,0.0,149,off-target noiseless
500,0.765,16.0,149,target
