n,p_value,seed,type
500,0.064,342,off-target
500,0.981,342,target
500,0.058,343,off-target
500,0.197,343,target
500,0.12,344,off-target
500,0.434,344,target
500,0.196,345,off-target
500,0.525,345,target
500,0.422,346,off-target
500,0.52,346,target
500,0.045,347,off-target
500,0.32,347,target
500,0.0,348,off-target
500,0.149,348,target
500,0.0,349,off-target
500,0.658,349,target
500,0.012,350,off-target
500,0.187,350,target
500,0.003,351,off-target
500,0.543,351,target
500,0.015,352,off-target
500,0.357,352,target
500,0.044,353,off-target
500,0.288,353,target
500,0.0,354,off-target
500,0.629,354,target
500,0.001,355,off-target
500,0.631,355,target
500,0.0,356,off-target
500,0.281,356,target
500,0.001,357,off-target
500,0.129,357,target
500,0.002,358,off-target
500,0.77,358,target
500,0.091,359,off-target
500,0.953,359,target
500,0.045,360,off-target
500,0.588,360,target
500,0.002,361,off-target
500,0.854,361,target
500,0.004,362,off-target
500,0.161,362,target
500,0.122,363,off-target
500,0.783,363,target
500,0.009,364,off-target
500,0.036,364,target
500,0.021,365,off-target
500,0.942,365,target
500,0.029,366,off-target
500,0.004,366,target
500,0.0,367,off-target
500,0.414,367,target
500,0.035,368,off-target
500,0.672,368,target
500,0.014,369,off-target
500,0.35,369,target
500,0.0,370,off-target
500,0.77,370,target
500,0.0,371,off-target
500,0.639,371,target
500,0.0,372,off-target
500,0.904,372,target
500,0.106,373,off-target
500,0.593,373,target
500,0.034,374,off-target
500,0.999,374,target
500,0.031,375,off-target
500,0.003,375,target
500,0.007,376,off-target
500,0.869,376,target
500,0.101,377,off-target
500,0.861,377,target
500,0.069,378,off-target
500,0.783,378,target
500,0.017,379,off-target
500,0.271,379,target
500,0.073,380,off-target
500,0.089,380,target
500,0.001,381,off-target
500,0.451,381,target
500,0.019,382,off-target
500,0.923,382,target
500,0.0,383,off-target
500,0.496,383,target
500,0.002,384,off-target
500,0.828,384,target
500,0.0,385,off-target
500,0.906,385,target
500,0.094,386,off-target
500,0.924,386,target
500,0.033,387,off-target
500,0.315,387,target
500,0.155,388,off-target
500,0.356,388,target
500,0.008,389,off-target
500,0.67,389,target
500,0.015,390,off-target
500,0.856,390,target
500,0.016,391,off-target
500,0.238,391,target
500,0.096,392,off-target
500,0.304,392,target
500,0.0,393,off-target
500,0.823,393,target
500,0.157,394,off-target
500,0.57,394,target
500,0.006,395,off-target
500,0.654,395,target
500,0.002,396,off-target
500,0.02,396,target
500,0.111,397,off-target
500,0.83,397,target
500,0.005,398,off-target
500,0.38,398,target
500,0.321,399,off-target
500,0.386,399,target
500,0.053,400,off-target
500,0.317,400,target
500,0.0,401,off-target
500,0.358,401,target
500,0.0,402,off-target
500,0.878,402,target
500,0.166,403,off-target
500,0.695,403,target
500,0.0,404,off-target
500,0.681,404,target
500,0.061,405,off-target
500,0.526,405,target
500,0.0,406,off-target
500,0.057,406,target
500,0.005,407,off-target
500,0.541,407,target
500,0.0,408,off-target
500,0.153,408,target
500,0.0,409,off-target
500,0.759,409,target
500,0.017,410,off-target
500,0.941,410,target
500,0.161,411,off-target
500,0.356,411,target
500,0.011,412,off-target
500,0.143,412,target
500,0.0,413,off-target
500,0.453,413,target
500,0.026,414,off-target
500,0.656,414,target
500,0.007,415,off-target
500,0.193,415,target
500,0.003,416,off-target
500,0.599,416,target
500,0.032,417,off-target
500,0.266,417,target
500,0.167,418,off-target
500,0.627,418,target
500,0.092,419,off-target
500,0.752,419,target
500,0.002,420,off-target
500,0.776,420,target
500,0.003,421,off-target
500,0.627,421,target
500,0.004,422,off-target
500,0.161,422,target
500,0.0,423,off-target
500,0.03,423,target
500,0.065,424,off-target
500,0.186,424,target
500,0.046,425,off-target
500,0.231,425,target
500,0.003,426,off-target
500,0.654,426,target
500,0.001,427,off-target
500,0.138,427,target
500,0.002,428,off-target
500,0.279,428,target
500,0.003,429,off-target
500,0.697,429,target
500,0.224,430,off-target
500,0.865,430,target
500,0.049,431,off-target
500,0.695,431,target
500,0.0,432,off-target
500,0.114,432,target
500,0.015,433,off-target
500,0.79,433,target
500,0.127,434,off-target
500,0.709,434,target
500,0.038,435,off-target
500,0.292,435,target
500,0.001,436,off-target
500,0.57,436,target
500,0.093,437,off-target
500,0.352,437,target
500,0.016,438,off-target
500,0.81,438,target
500,0.003,439,off-target
500,0.721,439,target
500,0.015,440,off-target
500,0.533,440,target
500,0.023,441,off-target
500,0.035,441,target
500,0.028,442,off-target
500,0.028,442,target
500,0.0,443,off-target
500,0.175,443,target
500,0.009,444,off-target
500,0.8,444,target
500,0.0,445,off-target
500,0.826,445,target
500,0.0,446,off-target
500,0.77,446,target
500,0.028,447,off-target
500,0.047,447,target
500,0.015,448,off-target
500,0.084,448,target
500,0.013,449,off-target
500,0.108,449,target
500,0.0,450,off-target
500,0.515,450,target
500,0.014,451,off-target
500,0.993,451,target
500,0.002,452,off-target
500,0.618,452,target
500,0.002,453,off-target
500,0.559,453,target
500,0.08,454,off-target
500,0.956,454,target
500,0.231,455,off-target
500,0.992,455,target
500,0.032,456,off-target
500,0.015,456,target
500,0.006,457,off-target
500,0.622,457,target
500,0.087,458,off-target
500,0.927,458,target
500,0.004,459,off-target
500,0.739,459,target
500,0.018,460,off-target
500,0.616,460,target
500,0.015,461,off-target
500,0.674,461,target
500,0.002,462,off-target
500,0.72,462,target
500,0.001,463,off-target
500,0.677,463,target
500,0.089,464,off-target
500,0.916,464,target
500,0.001,465,off-target
500,0.92,465,target
500,0.1,466,off-target
500,0.772,466,target
500,0.0,467,off-target
500,0.244,467,target
500,0.004,468,off-target
500,0.756,468,target
500,0.192,469,off-target
500,0.629,469,target
500,0.025,470,off-target
500,0.644,470,target
500,0.009,471,off-target
500,0.269,471,target
500,0.09,472,off-target
500,0.756,472,target
500,0.049,473,off-target
500,0.564,473,target
500,0.034,474,off-target
500,0.46,474,target
500,0.0,475,off-target
500,0.551,475,target
500,0.003,476,off-target
500,0.697,476,target
500,0.001,477,off-target
500,0.617,477,target
500,0.17,478,off-target
500,0.915,478,target
500,0.072,479,off-target
500,0.107,479,target
500,0.027,480,off-target
500,0.936,480,target
500,0.017,481,off-target
500,0.467,481,target
500,0.032,482,off-target
500,0.362,482,target
500,0.002,483,off-target
500,0.588,483,target
500,0.0,484,off-target
500,0.798,484,target
500,0.013,485,off-target
500,0.105,485,target
500,0.001,486,off-target
500,0.306,486,target
500,0.095,487,off-target
500,0.367,487,target
500,0.315,488,off-target
500,0.524,488,target
500,0.018,489,off-target
500,0.105,489,target
500,0.0,490,off-target
500,0.484,490,target
500,0.0,491,off-target
500,0.307,491,target
500,0.015,492,off-target
500,0.992,492,target
500,0.0,493,off-target
500,0.447,493,target
500,0.004,494,off-target
500,0.629,494,target
500,0.017,495,off-target
500,0.485,495,target
500,0.039,496,off-target
500,0.879,496,target
500,0.001,497,off-target
500,0.731,497,target
500,0.012,498,off-target
500,0.62,498,target
500,0.118,499,off-target
500,0.277,499,target
500,0.086,500,off-target
500,0.207,500,target
500,0.028,501,off-target
500,0.569,501,target
500,0.0,502,off-target
500,0.796,502,target
500,0.002,503,off-target
500,0.779,503,target
500,0.015,504,off-target
500,0.063,504,target
500,0.0,505,off-target
500,0.811,505,target
500,0.01,506,off-target
500,0.314,506,target
500,0.026,507,off-target
500,0.41,507,target
500,0.172,508,off-target
500,0.776,508,target
500,0.002,509,off-target
500,0.018,509,target
500,0.052,510,off-target
500,0.163,510,target
500,0.02,511,off-target
500,0.332,511,target
500,0.001,512,off-target
500,0.123,512,target
500,0.005,513,off-target
500,0.652,513,target
500,0.001,514,off-target
500,0.6,514,target
500,0.036,515,off-target
500,0.319,515,target
500,0.006,516,off-target
500,0.268,516,target
500,0.004,517,off-target
500,0.931,517,target
500,0.006,518,off-target
500,0.74,518,target
500,0.267,519,off-target
500,0.369,519,target
500,0.01,520,off-target
500,0.401,520,target
500,0.003,521,off-target
500,0.371,521,target
500,0.003,522,off-target
500,0.668,522,target
500,0.002,523,off-target
500,0.37,523,target
500,0.02,524,off-target
500,0.855,524,target
500,0.0,525,off-target
500,0.169,525,target
500,0.0,526,off-target
500,0.943,526,target
500,0.001,527,off-target
500,0.299,527,target
500,0.029,528,off-target
500,0.188,528,target
500,0.002,529,off-target
500,0.444,529,target
500,0.001,530,off-target
500,0.653,530,target
500,0.0,531,off-target
500,0.122,531,target
500,0.018,532,off-target
500,0.053,532,target
500,0.009,533,off-target
500,0.745,533,target
500,0.103,534,off-target
500,0.734,534,target
500,0.002,535,off-target
500,0.727,535,target
500,0.006,536,off-target
500,0.929,536,target
500,0.01,537,off-target
500,0.541,537,target
500,0.0,538,off-target
500,0.298,538,target
500,0.019,539,off-target
500,0.031,539,target
500,0.007,540,off-target
500,0.06,540,target
500,0.003,541,off-target
500,0.188,541,target
500,0.009,542,off-target
500,0.655,542,target
500,0.168,543,off-target
500,0.969,543,target
500,0.001,544,off-target
500,0.49,544,target
500,0.002,545,off-target
500,0.99,545,target
500,0.014,546,off-target
500,0.828,546,target
500,0.081,547,off-target
500,0.127,547,target
500,0.21,548,off-target
500,0.399,548,target
500,0.071,549,off-target
500,0.3,549,target
500,0.009,550,off-target
500,0.146,550,target
500,0.0,551,off-target
500,0.111,551,target
500,0.014,552,off-target
500,0.789,552,target
500,0.025,553,off-target
500,0.784,553,target
500,0.002,554,off-target
500,0.702,554,target
500,0.0,555,off-target
500,0.575,555,target
500,0.0,556,off-target
500,0.771,556,target
500,0.048,557,off-target
500,0.224,557,target
500,0.093,558,off-target
500,0.582,558,target
500,0.011,559,off-target
500,0.686,559,target
500,0.007,560,off-target
500,0.145,560,target
500,0.002,561,off-target
500,0.929,561,target
500,0.0,562,off-target
500,0.779,562,target
500,0.011,563,off-target
500,0.574,563,target
500,0.156,564,off-target
500,0.01,564,target
