n,p_value,seed,type
500,0.0,588,off-target
500,0.637,588,target
500,0.0,589,off-target
500,0.665,589,target
500,0.0,590,off-target
500,0.471,590,target
500,0.0,591,off-target
500,0.628,591,target
500,0.0,592,off-target
500,0.715,592,target
500,0.0,593,off-target
500,0.558,593,target
500,0.0,594,off-target
500,0.22,594,target
500,0.0,595,off-target
500,0.121,595,target
500,0.0,596,off-target
500,0.214,596,target
500,0.0,597,off-target
500,0.334,597,target
500,0.0,598,off-target
500,0.317,598,target
500,0.0,599,off-target
500,0.143,599,target
500,0.0,600,off-target
500,0.292,600,target
500,0.0,601,off-target
500,0.52,601,target
500,0.0,602,off-target
500,0.97,602,target
500,0.0,603,off-target
500,0.029,603,target
500,0.002,604,off-target
500,0.568,604,target
500,0.0,605,off-target
500,0.187,605,target
500,0.0,606,off-target
500,0.121,606,target
500,0.0,607,off-target
500,0.93,607,target
500,0.0,608,off-target
500,0.65,608,target
500,0.0,609,off-target
500,0.014,609,target
500,0.001,610,off-target
500,0.538,610,target
500,0.0,611,off-target
500,0.902,611,target
500,0.0,612,off-target
500,0.663,612,target
500,0.0,613,off-target
500,0.201,613,target
500,0.0,614,off-target
500,0.909,614,target
500,0.0,615,off-target
500,0.125,615,target
500,0.0,616,off-target
500,0.51,616,target
500,0.0,617,off-target
500,0.016,617,target
500,0.0,618,off-target
500,0.991,618,target
500,0.0,619,off-target
500,0.776,619,target
500,0.0,620,off-target
500,0.078,620,target
500,0.0,621,off-target
500,0.249,621,target
500,0.0,622,off-target
500,0.768,622,target
500,0.0,623,off-target
500,0.882,623,target
500,0.0,624,off-target
500,0.389,624,target
500,0.0,625,off-target
500,0.621,625,target
500,0.0,626,off-target
500,0.051,626,target
500,0.0,627,off-target
500,0.738,627,target
500,0.0,628,off-target
500,0.064,628,target
500,0.0,629,off-target
500,0.582,629,target
500,0.0,630,off-target
500,0.448,630,target
500,0.0,631,off-target
500,0.591,631,target
500,0.0,632,off-target
500,0.516,632,target
500,0.0,633,off-target
500,0.978,633,target
