n,t,p_value,seed,type
500,50,0.017,100,off-target
500,50,0.29,100,target
500,0,0.637,101,off-target
500,0,0.948,101,target
500,10,0.136,101,off-target
500,10,0.06,101,target
500,25,0.037,101,off-target
500,25,0.095,101,target
500,50,0.051,101,off-target
500,50,0.275,101,target
500,0,0.037,102,off-target
500,0,0.494,102,target
500,10,0.028,102,off-target
500,10,0.025,102,target
500,25,0.018,102,off-target
500,25,0.408,102,target
500,50,0.007,102,off-target
500,50,0.169,102,target
500,0,0.114,103,off-target
500,0,0.89,103,target
500,10,0.092,103,off-target
500,10,0.488,103,target
500,25,0.042,103,off-target
500,25,0.013,103,target
500,50,0.001,103,off-target
500,50,0.229,103,target
500,0,0.845,104,off-target
500,0,0.785,104,target
500,10,0.001,104,off-target
500,10,0.0,104,target
500,25,0.11,104,off-target
500,25,0.382,104,target
500,50,0.005,104,off-target
500,50,0.008,104,target
500,0,0.628,105,off-target
500,0,0.896,105,target
500,10,0.068,105,off-target
500,10,0.217,105,target
500,25,0.069,105,off-target
500,25,0.068,105,target
500,50,0.049,105,off-target
500,50,0.062,105,target
500,0,0.796,106,off-target
500,0,0.863,106,target
500,10,0.028,106,off-target
500,10,0.424,106,target
500,25,0.011,106,off-target
500,25,0.213,106,target
500,50,0.043,106,off-target
500,50,0.241,106,target
500,0,0.944,107,off-target
500,0,0.463,107,target
500,10,0.001,107,off-target
500,10,0.656,107,target
500,25,0.002,107,off-target
500,25,0.001,107,target
500,50,0.081,107,off-target
500,50,0.321,107,target
500,0,0.154,108,off-target
500,0,0.486,108,target
500,10,0.039,108,off-target
500,10,0.095,108,target
500,25,0.005,108,off-target
500,25,0.577,108,target
500,50,0.063,108,off-target
500,50,0.118,108,target
500,0,0.139,109,off-target
500,0,0.614,109,target
500,10,0.061,109,off-target
500,10,0.191,109,target
500,25,0.005,109,off-target
500,25,0.099,109,target
500,50,0.009,109,off-target
500,50,0.29,109,target
500,0,0.803,110,off-target
500,0,0.34,110,target
500,10,0.097,110,off-target
500,10,0.331,110,target
500,25,0.011,110,off-target
500,25,0.109,110,target
500,50,0.038,110,off-target
500,50,0.215,110,target
500,0,0.572,111,off-target
500,0,0.902,111,target
500,10,0.005,111,off-target
500,10,0.394,111,target
500,25,0.063,111,off-target
500,25,0.486,111,target
500,50,0.128,111,off-target
500,50,0.285,111,target
500,0,0.876,112,off-target
500,0,0.455,112,target
500,10,0.021,112,off-target
500,10,0.213,112,target
500,25,0.019,112,off-target
500,25,0.065,112,target
500,50,0.057,112,off-target
500,50,0.468,112,target
500,0,0.065,113,off-target
500,0,0.509,113,target
500,10,0.078,113,off-target
500,10,0.36,113,target
500,25,0.07,113,off-target
500,25,0.259,113,target
500,50,0.005,113,off-target
500,50,0.203,113,target
500,0,0.003,114,off-target
500,0,0.699,114,target
500,10,0.125,114,off-target
500,10,0.291,114,target
500,25,0.008,114,off-target
500,25,0.043,114,target
500,50,0.011,114,off-target
500,50,0.121,114,target
500,0,0.078,115,off-target
500,0,0.544,115,target
500,10,0.08,115,off-target
500,10,0.076,115,target
500,25,0.01,115,off-target
500,25,0.584,115,target
500,50,0.009,115,off-target
500,50,0.446,115,target
500,0,0.538,116,off-target
500,0,0.067,116,target
500,10,0.008,116,off-target
500,10,0.224,116,target
