n,p_value,seed,type
500,0.0,341,off-target
500,0.961,341,target
500,0.0,342,off-target
500,0.803,342,target
500,0.0,343,off-target
500,0.922,343,target
500,0.0,344,off-target
500,0.569,344,target
500,0.0,345,off-target
500,0.559,345,target
500,0.0,346,off-target
500,0.664,346,target
500,0.0,347,off-target
500,0.201,347,target
500,0.0,348,off-target
500,0.826,348,target
500,0.0,349,off-target
500,0.777,349,target
500,0.0,350,off-target
500,0.807,350,target
500,0.0,351,off-target
500,0.502,351,target
500,0.0,352,off-target
500,0.338,352,target
500,0.0,353,off-target
500,0.99,353,target
500,0.0,354,off-target
500,0.652,354,target
500,0.0,355,off-target
500,0.69,355,target
500,0.0,356,off-target
500,0.868,356,target
500,0.0,357,off-target
500,0.789,357,target
500,0.0,358,off-target
500,0.345,358,target
500,0.0,359,off-target
500,0.233,359,target
500,0.0,360,off-target
500,0.311,360,target
500,0.0,361,off-target
500,0.305,361,target
500,0.0,362,off-target
500,0.919,362,target
500,0.0,363,off-target
500,0.963,363,target
500,0.0,364,off-target
500,0.631,364,target
500,0.0,365,off-target
500,0.611,365,target
500,0.0,366,off-target
500,0.311,366,target
500,0.0,367,off-target
500,0.061,367,target
500,0.0,368,off-target
500,0.919,368,target
500,0.0,369,off-target
500,0.618,369,target
500,0.0,370,off-target
500,0.295,370,target
500,0.0,371,off-target
500,0.754,371,target
500,0.0,372,off-target
500,0.818,372,target
500,0.0,373,off-target
500,0.987,373,target
500,0.0,374,off-target
500,0.411,374,target
500,0.0,375,off-target
500,0.515,375,target
500,0.0,376,off-target
500,0.952,376,target
500,0.0,377,off-target
500,0.283,377,target
500,0.0,378,off-target
500,0.004,378,target
500,0.0,379,off-target
500,0.325,379,target
500,0.0,380,off-target
500,0.516,380,target
500,0.0,381,off-target
500,0.222,381,target
500,0.0,382,off-target
500,0.15,382,target
500,0.0,383,off-target
500,0.726,383,target
500,0.0,384,off-target
500,0.089,384,target
500,0.0,385,off-target
500,0.926,385,target
500,0.0,386,off-target
500,0.184,386,target
500,0.0,387,off-target
500,0.137,387,target
500,0.0,388,off-target
500,0.917,388,target
500,0.0,389,off-target
500,0.749,389,target
500,0.0,390,off-target
500,0.778,390,target
500,0.0,391,off-target
500,0.177,391,target
500,0.0,392,off-target
500,0.919,392,target
500,0.0,393,off-target
500,0.701,393,target
500,0.0,394,off-target
500,0.767,394,target
500,0.0,395,off-target
500,0.024,395,target
500,0.0,396,off-target
500,0.469,396,target
500,0.0,397,off-target
500,0.13,397,target
500,0.0,398,off-target
500,0.406,398,target
500,0.0,399,off-target
500,0.962,399,target
500,0.0,400,off-target
500,0.643,400,target
500,0.0,401,off-target
500,0.788,401,target
500,0.0,402,off-target
500,0.418,402,target
500,0.0,403,off-target
500,0.583,403,target
500,0.0,404,off-target
500,0.424,404,target
500,0.0,405,off-target
500,0.884,405,target
500,0.0,406,off-target
500,0.16,406,target
500,0.0,407,off-target
500,0.286,407,target
500,0.0,408,off-target
500,0.381,408,target
500,0.0,409,off-target
500,0.713,409,target
500,0.0,410,off-target
500,0.443,410,target
500,0.0,411,off-target
500,0.922,411,target
500,0.0,412,off-target
500,0.59,412,target
500,0.0,413,off-target
500,0.424,413,target
500,0.0,414,off-target
500,0.003,414,target
500,0.0,415,off-target
500,0.172,415,target
500,0.0,416,off-target
500,0.193,416,target
500,0.0,417,off-target
500,0.985,417,target
500,0.0,418,off-target
500,0.725,418,target
500,0.0,419,off-target
500,0.564,419,target
500,0.0,420,off-target
500,0.142,420,target
500,0.0,421,off-target
500,0.58,421,target
500,0.0,422,off-target
500,0.324,422,target
500,0.0,423,off-target
500,0.183,423,target
500,0.0,424,off-target
500,0.926,424,target
500,0.0,425,off-target
500,0.862,425,target
500,0.0,426,off-target
500,0.756,426,target
500,0.0,427,off-target
500,0.112,427,target
500,0.0,428,off-target
500,0.907,428,target
500,0.0,429,off-target
500,0.346,429,target
500,0.0,430,off-target
500,0.84,430,target
500,0.0,431,off-target
500,0.842,431,target
500,0.0,432,off-target
500,0.648,432,target
500,0.0,433,off-target
500,0.509,433,target
