n,t,p_value,seed,type
500,1000,0.109,60,off-target
500,1000,0.194,60,target
500,1200,0.934,60,off-target
500,1200,0.462,60,target
500,0,0.709,61,off-target
500,0,0.454,61,target
500,800,0.956,61,off-target
500,800,0.878,61,target
500,1000,0.449,61,off-target
500,1000,0.995,61,target
500,1200,0.882,61,off-target
500,1200,0.765,61,target
500,0,0.134,62,off-target
500,0,0.093,62,target
500,800,0.975,62,off-target
500,800,0.261,62,target
500,1000,0.824,62,off-target
500,1000,0.088,62,target
500,1200,0.221,62,off-target
500,1200,0.859,62,target
500,0,0.538,63,off-target
500,0,0.41,63,target
500,800,0.369,63,off-target
500,800,0.068,63,target
500,1000,0.719,63,off-target
500,1000,0.096,63,target
500,1200,0.133,63,off-target
500,1200,0.268,63,target
500,0,0.601,64,off-target
500,0,0.191,64,target
500,800,0.302,64,off-target
500,800,0.515,64,target
500,1000,0.351,64,off-target
500,1000,0.307,64,target
500,1200,0.142,64,off-target
500,1200,0.903,64,target
500,0,0.604,65,off-target
500,0,0.518,65,target
500,800,0.867,65,off-target
500,800,0.177,65,target
500,1000,0.113,65,off-target
500,1000,0.344,65,target
500,1200,0.532,65,off-target
500,1200,0.478,65,target
500,0,0.772,66,off-target
500,0,0.863,66,target
500,800,0.792,66,off-target
500,800,0.296,66,target
500,1000,0.79,66,off-target
500,1000,0.853,66,target
500,1200,0.826,66,off-target
500,1200,0.432,66,target
500,0,0.338,67,off-target
500,0,0.009,67,target
500,800,0.336,67,off-target
500,800,0.271,67,target
500,1000,0.836,67,off-target
500,1000,0.462,67,target
500,1200,0.243,67,off-target
500,1200,0.502,67,target
500,0,0.223,68,off-target
500,0,0.329,68,target
500,800,0.361,68,off-target
500,800,0.905,68,target
500,1000,0.719,68,off-target
500,1000,0.64,68,target
500,1200,0.05,68,off-target
500,1200,0.432,68,target
500,0,0.741,69,off-target
500,0,0.917,69,target
500,800,0.735,69,off-target
500,800,0.418,69,target
500,1000,0.503,69,off-target
500,1000,0.097,69,target
500,1200,0.288,69,off-target
500,1200,0.97,69,target
500,0,0.764,70,off-target
500,0,0.179,70,target
500,800,0.327,70,off-target
500,800,0.654,70,target
500,1000,0.888,70,off-target
500,1000,0.923,70,target
500,1200,0.859,70,off-target
500,1200,0.77,70,target
500,0,0.41,71,off-target
500,0,0.879,71,target
500,800,0.367,71,off-target
500,800,0.397,71,target
500,1000,0.932,71,off-target
500,1000,0.065,71,target
500,1200,0.443,71,off-target
500,1200,0.968,71,target
500,0,0.545,72,off-target
500,0,0.006,72,target
500,800,0.874,72,off-target
500,800,0.522,72,target
500,1000,0.641,72,off-target
500,1000,0.732,72,target
500,1200,0.078,72,off-target
500,1200,0.685,72,target
500,0,0.271,73,off-target
500,0,0.856,73,target
500,800,0.385,73,off-target
500,800,0.412,73,target
500,1000,0.843,73,off-target
500,1000,0.733,73,target
500,1200,0.457,73,off-target
500,1200,0.247,73,target
500,0,0.214,74,off-target
500,0,0.311,74,target
500,800,0.558,74,off-target
500,800,0.668,74,target
500,1000,0.66,74,off-target
500,1000,0.835,74,target
500,1200,0.779,74,off-target
500,1200,0.593,74,target
500,0,0.526,75,off-target
500,0,0.534,75,target
500,800,0.55,75,off-target
500,800,0.499,75,target
500,1000,0.487,75,off-target
500,1000,0.396,75,target
500,1200,0.211,75,off-target
500,1200,0.652,75,target
500,0,0.948,76,off-target
500,0,0.077,76,target
500,800,0.102,76,off-target
500,800,0.506,76,target
500,1000,0.144,76,off-target
500,1000,0.792,76,target
500,1200,0.119,76,off-target
500,1200,0.942,76,target
500,0,0.395,77,off-target
500,0,0.926,77,target
500,800,0.212,77,off-target
500,800,0.544,77,target
500,1000,0.933,77,off-target
500,1000,0.426,77,target
500,1200,0.466,77,off-target
500,1200,0.525,77,target
500,0,0.098,78,off-target
500,0,0.392,78,target
500,800,0.366,78,off-target
500,800,0.656,78,target
500,1000,0.998,78,off-target
500,1000,0.617,78,target
500,1200,0.121,78,off-target
500,1200,0.097,78,target
500,0,0.55,79,off-target
500,0,0.452,79,target
500,800,0.859,79,off-target
500,800,0.049,79,target
500,1000,0.1,79,off-target
500,1000,0.728,79,target
500,1200,0.768,79,off-target
500,1200,0.334,79,target
500,0,0.342,80,off-target
500,0,0.102,80,target
500,800,0.001,80,off-target
500,800,0.579,80,target
500,1000,0.591,80,off-target
500,1000,0.414,80,target
500,1200,0.147,80,off-target
500,1200,0.85,80,target
500,0,0.251,81,off-target
500,0,0.831,81,target
500,800,0.148,81,off-target
500,800,0.013,81,target
500,1000,0.434,81,off-target
500,1000,0.466,81,target
500,1200,0.504,81,off-target
500,1200,0.165,81,target
500,0,0.717,82,off-target
